feature_1,feature_2,feature_4,feature_5,feature_6,feature_7
0.49594814,0.4901642,0.5029225,0.49640334,0.50627595,0.48594287
0.22285931,0.31707615,0.49104908,0.5638599,0.454356,0.48231375
0.6938017,0.6169407,0.5135006,0.4608151,0.537849,0.49794072
0.62005264,0.5679769,0.5093397,0.474789,0.52544945,0.4932194
0.6696353,0.6005294,0.51208806,0.4655534,0.53364384,0.49633777
0.5460277,0.5212054,0.5054699,0.4878177,0.51389194,0.48883063
0.36634928,0.40897387,0.49617785,0.5191296,0.48610875,0.4783029
0.2241118,0.31759542,0.4914194,0.5627146,0.4560359,0.48062274
0.5598234,0.5298127,0.5061778,0.4854329,0.5160073,0.48963323
0.45296484,0.4635561,0.5007344,0.5037788,0.4997325,0.4834635
0.7596005,0.6642426,0.5177147,0.4467183,0.55036557,0.5027251
0.25822812,0.3364619,0.49030212,0.5420016,0.4670129,0.47171968
0.39534387,0.42748284,0.49773815,0.51387554,0.4907727,0.48006958
0.7992529,0.6953434,0.52064234,0.43696877,0.55902904,0.50605035
0.27372828,0.34686416,0.49075124,0.5373651,0.4699093,0.47216192
0.8041655,0.69937724,0.5210337,0.43566877,0.5601847,0.50649494
0.29604396,0.3623737,0.49214083,0.5327025,0.47405332,0.47373393
0.23834243,0.3251735,0.49185663,0.5530759,0.46353087,0.47382075
0.74475294,0.6531655,0.5167052,0.4500887,0.547372,0.50157887
0.33029112,0.38543916,0.49416167,0.52591264,0.48008537,0.47602066
0.62391543,0.57046854,0.50954807,0.47408834,0.526071,0.4934557
0.57972735,0.54230374,0.50720775,0.48196408,0.5190844,0.49080122
0.46938705,0.4737353,0.50157285,0.50095284,0.5022398,0.48441342
0.334423,0.38817084,0.49439782,0.52511847,0.4807907,0.476288
0.45482755,0.46471208,0.5008298,0.5034576,0.5000176,0.4835715
0.32550222,0.38226038,0.49388605,0.52683926,0.47926235,0.47570872
0.33230415,0.38677126,0.49427694,0.52552515,0.48042953,0.47615108
0.5112241,0.49961236,0.5036976,0.49379048,0.5085938,0.48682147
0.21309967,0.31297183,0.48811093,0.5729217,0.44106796,0.49574172
0.4881335,0.4853324,0.5025258,0.49774027,0.5050899,0.4854934
0.7509272,0.6577389,0.5171201,0.44870296,0.5486027,0.5020499
0.6570608,0.5921454,0.5113742,0.4679507,0.5315166,0.49552763
0.68902886,0.61366564,0.513217,0.4617659,0.53700507,0.4976189
0.7022185,0.6227603,0.5140067,0.45911855,0.5393548,0.49851522
